Milliseconds,X,Y,Z
2,0.8091736,4.2430725,8.286377
12,1.1082764,4.2143555,8.504135
23,1.0484619,3.7597198,8.453873
32,1.0341034,4.4249268,7.7862854
42,0.9575348,4.9896393,7.2981415
52,1.0029907,5.281555,7.0995483
62,0.6392822,5.087738,7.140213
72,1.1250305,5.642868,6.6640472
82,0.658432,5.855835,7.7695312
92,0.8929291,6.348755,9.028152
102,1.5820618,6.4995117,9.908722
112,1.8931274,6.5449677,8.616592
123,1.1082764,6.0998993,8.767334
132,0.7828522,6.114258,9.707718
142,0.71824646,6.1740875,10.990265
152,0.7828522,5.8917236,11.4832
162,0.9575348,5.305481,11.947403
172,1.0173492,4.767105,12.464249
182,0.8977051,4.360321,12.911713
192,0.59620667,3.9559326,13.153381
203,-0.32263184,3.4223328,13.7252655
213,-0.66241455,2.962906,14.23494
222,-1.0596161,3.3625183,14.670441
232,-1.5214386,3.5659027,15.0030365
242,-2.2033844,3.3672943,15.266251
252,-2.5527344,2.87677,15.397858
262,-2.7082825,2.1038818,15.292572
272,-2.8350983,1.2400818,15.024567
282,-2.4139557,1.3453674,14.4814
292,-1.8612213,1.5679016,14.033936
302,-1.1457672,1.4817505,12.751389
313,-0.7700958,1.9268188,12.023972
322,-0.3968048,2.6949158,11.4832
332,0.02432251,3.0179443,11.188873
342,0.9886322,3.0155487,10.892166
353,1.9385834,2.7379913,10.6098175
362,2.668396,2.2474518,10.071426
372,3.1517487,1.7736816,9.379898
382,3.9365997,1.5631104,8.961151
392,4.501297,1.5918274,8.920486
403,4.6879425,1.536789,9.083191
412,4.900894,1.4554291,9.872818
422,4.8937225,1.1036835,11.007019
432,4.0921326,0.27098083,11.760757
442,3.0488586,-0.14537048,11.87561
453,2.491333,0.058029175,11.775116
462,2.393219,0.68255615,11.54541
472,2.536789,0.7160492,11.265442
482,2.4697876,0.77108765,10.913696
492,2.2640076,0.99601746,10.597855
502,2.084549,1.1850433,10.291565
512,1.8739777,1.2352905,10.133636
522,1.8428802,1.3453674,9.769928
532,1.5246277,0.9720764,9.717285
543,1.3332062,1.0366974,9.272232
552,1.2398834,1.3668976,8.623764
562,1.2111664,1.536789,8.19545
572,1.517456,1.8550415,7.6235657
584,1.7519531,1.8933258,7.2526855
592,2.0175476,1.9962158,6.642517
602,2.0175476,1.9962158,6.642517
612,1.8141632,2.4604187,5.5059204
622,1.4480591,2.6614227,5.2307434
632,1.4695892,2.5752716,5.355179
643,1.7950134,2.4173431,5.864853
652,2.0127716,2.3647003,5.989273
662,2.4434662,2.42453,5.927063
673,3.0297089,2.6757812,5.8217773
682,3.3982086,2.8002014,5.6829834
692,3.7786713,3.0921173,5.886383
703,3.9365997,3.2117615,6.051483
712,3.6183472,3.1064758,6.3410187
723,3.0727844,2.9030914,6.556366
732,1.3212433,2.3718872,7.606827
742,0.9455719,2.5298157,7.9561768
752,0.08415222,2.6518402,7.5613556
