Milliseconds,X,Y,Z
2,-1.0572205,5.925232,8.097351
11,-0.96629333,5.9970093,8.224167
21,-0.9399719,6.0257263,8.193069
32,-0.9208374,6.061615,8.181091
41,-0.92800903,6.0520477,8.1284485
51,-0.93759155,6.004196,8.059067
61,-0.98783875,5.9826508,7.9968567
71,-0.9902344,5.970688,7.946594
81,-1.0285187,5.9324036,7.90831
91,-1.0332947,5.8821564,7.8724213
102,-1.0452576,5.8486633,7.812607
111,-1.0285187,5.8534393,7.74321
121,-1.0141602,5.9228363,7.7575684
131,-1.0332947,5.9395905,7.7503967
141,-1.0404816,5.9395905,7.7288513
152,-1.0907288,5.9324036,7.6833954
161,-1.0500488,5.9324036,7.6809998
171,-1.0213318,5.9922333,7.7216797
181,-1.0332947,5.9922333,7.776718
191,-1.0596161,5.9036865,7.8317413
202,-1.0596161,5.815155,7.879608
211,-1.1385803,5.7601166,7.913101
221,-1.1816559,5.774475,7.915497
231,-1.140976,5.7840576,7.891571
241,-1.0931244,5.757736,7.9226685
251,-1.0979004,5.810379,7.9011383
262,-1.0763702,5.8486633,7.925064
271,-1.0476532,5.8749847,7.925064
281,-1.0117645,5.855835,7.891571
291,-1.0572205,5.867798,7.776718
301,-1.0452576,5.9324036,7.70253
311,-1.0548401,5.980255,7.657074
322,-1.0955048,5.987442,7.6594696
331,-1.1218262,6.020935,7.673813
341,-1.1194458,6.032898,7.6881714
351,-1.1026917,5.9850464,7.6929626
361,-1.0979004,5.9563293,7.6809998
371,-1.1266174,5.934799,7.6953583
381,-1.1457672,5.958725,7.6809998
391,-1.1912231,6.0185394,7.649887
402,-1.1888275,6.0520477,7.6355286
411,-1.1601257,6.090332,7.628357
421,-1.1577301,6.085541,7.666641
431,-1.1194458,6.040085,7.74321
441,-1.1338043,5.970688,7.8078156
451,-1.1242218,5.8869476,7.8891754
461,-1.1122589,5.8414764,7.9633484
472,-1.1026917,5.839081,8.085388
481,-1.0835419,5.8079834,8.121277
491,-1.0620117,5.827118,8.171524
501,-1.0620117,5.827118,8.202637
511,-1.0380859,5.839081,8.169128
521,-1.0380859,5.822342,8.082993
532,-1.0548401,5.8079834,8.037521
541,-1.0332947,5.8462677,8.0112
551,-0.99980164,5.8630066,7.9920654
561,-0.9519501,5.867798,7.977707
571,-0.92800903,5.8917236,7.9753113
582,-0.9351959,5.896515,7.987274
591,-0.92323303,5.9276276,7.94899
601,-0.92800903,5.9395905,7.8365326
611,-0.92323303,5.9730835,7.7264557
621,-0.91604614,6.0018005,7.611603
631,-0.9184418,5.999405,7.501541
641,-0.93040466,5.9850464,7.463257
652,-0.9184418,5.965912,7.4177856
661,-0.8801575,5.975479,7.432144
671,-0.9328003,5.9730835,7.4536743
681,-0.96151733,6.028122,7.4799957
691,-0.95433044,6.0520477,7.49675
701,-0.96151733,6.0664062,7.4991455
711,-0.97587585,6.1046906,7.4776154
722,-0.9854431,6.0759735,7.5039215
731,-1.0093689,6.049652,7.575714
741,-1.030899,5.999405,7.666641
751,-1.0931244,5.930008,7.776718
761,-1.1146545,5.908478,7.8891754
771,-1.1242218,5.8869476,7.9609528
782,-1.1481476,5.8701935,7.999237
791,-1.1672974,5.843872,8.004028
801,-1.2175446,5.855835,8.004028
811,-1.2103729,5.855835,8.0112
821,-1.2175446,5.877365,8.042313
831,-1.2295074,5.8869476,8.05188
841,-1.174469,5.906082,8.063843
851,-1.1840515,5.937195,8.056671
862,-1.1792603,5.9276276,8.020782
871,-1.2151489,5.9395905,8.004028
881,-1.2390747,5.9970093,7.913101
891,-1.2510529,6.0352936,7.80542
901,-1.2342987,6.0233307,7.7288513
911,-1.243866,5.9539337,7.669037
921,-1.2582245,5.9730835,7.6594696
932,-1.346756,6.040085,7.62117
941,-1.4089661,6.0257263,7.5924683
951,-1.3922272,5.999405,7.5805054
961,-1.375473,5.970688,7.6259613
972,-1.3706818,5.9850464,7.7168884
981,-1.3778687,5.934799,7.862854
991,-1.3898315,5.8510437,7.987274
1001,-1.3850403,5.762512,8.080597
1011,-1.3946075,5.7050934,8.104523
1021,-1.4041901,5.695511,8.078201
1031,-1.3635101,5.7960205,8.059067
1042,-1.3323975,5.8510437,8.020782
1051,-1.3228302,5.872589,7.984894
1061,-1.375473,5.8797607,7.9274597
1071,-1.3993988,5.8941193,7.8245697
1081,-1.4065857,5.889328,7.8030243
1092,-1.4329071,5.8869476,7.810211
1101,-1.4137573,5.9156494,7.812607
1111,-1.3683014,5.980255,7.9274597
1121,-1.3036804,5.930008,8.018387
1131,-1.3252258,5.9324036,8.13324
1141,-1.3347931,5.8941193,8.087784
1152,-1.3826447,5.8582306,7.9801025
1161,-1.4424744,5.810379,7.9059296
1171,-1.4903259,5.7601166,7.9059296
1181,-1.5334015,5.733795,7.9513855
1191,-1.4879303,5.7098694,8.061462
1201,-1.4807587,5.7433777,8.161957
1212,-1.4544373,5.7074738,8.202637
1221,-1.3659058,5.6572266,8.15239
1231,-1.3347931,5.6404877,8.082993
1241,-1.2869415,5.6763763,7.965744
1251,-1.2295074,5.7218323,7.941818
1261,-1.1385803,5.7840576,7.90831
1271,-1.0428772,5.7768707,7.850891
1282,-0.9782715,5.7912292,7.771927
1291,-0.96151733,5.8127594,7.7551727
1301,-0.9591217,5.7960205,7.7264557
1311,-1.0141602,5.855835,7.736038
1321,-1.0141602,5.745758,7.800644
1332,-1.100296,5.6979065,7.7288513
1341,-1.1816559,5.712265,7.707321
1351,-1.2510529,5.700302,7.6642456
1361,-1.2821503,5.7218323,7.5972443
1371,-1.2845459,5.786438,7.5924683
1381,-1.318039,5.843872,7.5900726
1392,-1.3371887,5.872589,7.6522827
1401,-1.3371887,5.860626,7.759964
1411,-1.34198,5.8175507,7.8078156
1421,-1.3946075,5.8295135,7.8269653
1431,-1.3706818,5.8462677,7.834137
1441,-1.3300018,5.8462677,7.800644
1451,-1.2582245,5.8917236,7.7982483
1462,-1.2199402,5.937195,7.8604584
1471,-1.2007904,5.9922333,7.944214
1481,-1.2151489,5.9946136,7.982498
1491,-1.2127533,5.9850464,7.946594
1501,-1.19841,5.918045,7.920273
1511,-1.1768646,5.9324036,7.8724213
1521,-1.169693,5.9515533,7.8317413
1532,-1.174469,5.958725,7.810211
1541,-1.1816559,5.930008,7.8365326
1551,-1.2151489,5.8510437,7.9059296
1561,-1.2749786,5.834305,7.913101
1571,-1.3515472,5.8127594,7.8580627
1581,-1.3826447,5.8462677,7.7958527
1591,-1.3515472,5.941971,7.7623596
1601,-1.34198,5.9922333,7.7168884
1612,-1.3491516,6.008972,7.6929626
1621,-1.3347931,5.968292,7.7049255
1631,-1.3252258,5.913269,7.712097
1641,-1.2893372,5.860626,7.7384186
1651,-1.34198,5.860626,7.7743225
1661,-1.346756,5.822342,7.884384
1671,-1.3563232,5.872589,7.994461
1682,-1.3371887,5.9108734,7.999237
1691,-1.3084717,5.925232,7.994461
1701,-1.3108673,5.937195,7.937027
1711,-1.3539429,5.918045,7.8772125
1721,-1.346756,5.867798,7.8724213
1731,-1.34198,5.839081,7.903534
1742,-1.272583,5.805588,8.0112
1751,-1.2247314,5.7720795,8.056671
1761,-1.1481476,5.774475,8.09256
1771,-1.1194458,5.836685,8.097351
1781,-1.140976,5.8701935,8.090164
1791,-1.1457672,5.8582306,8.032745
1802,-1.1577301,5.8414764,7.9920654
1811,-1.1218262,5.798401,7.937027
1821,-1.1170502,5.762512,7.965744
1831,-1.0787659,5.745758,7.9633484
1841,-0.99980164,5.7385864,8.025558
1851,-0.9471588,5.736191,8.073425
1861,-0.9136505,5.7146606,8.114105
1872,-0.88734436,5.7026978,8.102127
1881,-0.91604614,5.700302,8.037521
1891,-0.9710846,5.6644135,7.98967
1901,-1.0165558,5.678772,7.9753113
1911,-1.0644073,5.690735,7.9394226
1921,-1.0739746,5.712265,7.9274597
1931,-1.066803,5.7050934,7.98967
1941,-1.066803,5.638092,8.00882
1952,-1.0787659,5.5782623,8.015991
1961,-1.0620117,5.559128,7.984894
1971,-1.0213318,5.530411,7.982498
1981,-0.9519501,5.528015,8.044708
1991,-0.8681946,5.5256195,8.149994
2001,-0.8753662,5.575882,8.219376
2012,-0.8969116,5.633301,8.209808
2021,-0.8801575,5.621338,8.135635
2031,-0.8514404,5.638092,8.099747
2041,-0.7820587,5.671585,8.087784
2051,-0.72462463,5.688339,8.032745
2061,-0.6719818,5.719452,8.059067
2071,-0.61694336,5.6979065,7.94899
2082,-0.6217346,5.8199463,8.073425
2091,-0.6265259,5.805588,8.135635
2101,-0.56430054,5.810379,8.104523
2111,-0.5427704,5.793625,8.082993
2122,-0.5379791,5.8295135,8.109314
2131,-0.57388306,5.8486633,8.149994
2141,-0.59780884,5.7912292,8.185883
2151,-0.60258484,5.7050934,8.238525
2161,-0.619339,5.678772,8.262451
2171,-0.6983032,5.6476593,8.216995
2181,-0.7533417,5.6572266,8.106918
2192,-0.7940216,5.6931305,7.98967
2201,-0.8323059,5.724228,7.88678
2211,-0.87776184,5.695511,7.8078156
2221,-0.93040466,5.683548,7.776718
2231,-0.9136505,5.6356964,7.7743225
2241,-0.894516,5.559128,7.879608
2251,-0.9351959,5.4729767,8.044708
2262,-0.9328003,5.403595,8.17392
2271,-0.9351959,5.3700867,8.248093
2281,-0.92323303,5.3940277,8.233734
2291,-0.9351959,5.484955,8.161957
2301,-0.894516,5.563904,7.9920654
2312,-0.8466644,5.6141663,7.9011383
2321,-0.85383606,5.671585,7.8652496
2331,-0.80119324,5.7385864,7.9226685
2341,-0.7437744,5.752945,7.994461
2351,-0.68634033,5.740982,8.09256
2361,-0.6911316,5.736191,8.171524
2371,-0.72462463,5.683548,8.248093
2382,-0.70547485,5.559128,8.382095
2391,-0.73898315,5.511261,8.432343
2401,-0.7294159,5.444275,8.434738
2411,-0.75094604,5.4299164,8.44191
2421,-0.7700958,5.403595,8.384491
2431,-0.7700958,5.4275208,8.396454
2441,-0.7533417,5.461014,8.319885
2451,-0.7485504,5.489731,8.272018
2461,-0.7724762,5.4801636,8.207413
2471,-0.80358887,5.4969177,8.157166
2481,-0.7987976,5.4969177,8.17392
2491,-0.6959076,5.456238,8.207413
2501,-0.73179626,5.523239,8.169128
2511,-0.65045166,5.5662994,8.216995
