Milliseconds,X,Y,Z
2,-0.009170532,4.3866425,8.700333
12,0.002792358,4.6737823,8.9539795
21,0.007583618,4.7527466,8.824768
31,0.04107666,4.738388,8.719482
41,0.06500244,4.618744,8.638123
51,0.08175659,4.549347,8.590271
61,0.08175659,4.4943237,8.630951
71,0.05064392,4.4990997,8.640518
81,0.04586792,4.5062866,8.702728
92,-0.059417725,4.5134583,8.72905
102,-0.15513611,4.446457,8.764954
111,-0.22930908,4.4488525,8.731445
121,-0.20298767,4.4608154,8.741013
131,-0.15753174,4.463211,8.690765
141,-0.100097656,4.4368896,8.676407
153,-0.066604614,4.405777,8.717087
162,-0.049850464,4.446457,8.824768
172,-0.037887573,4.5062866,8.8798065
181,-0.028320312,4.5086823,8.836731
191,0.014755249,4.5134583,8.817596
201,0.005187988,4.5062866,8.81041
212,0.007583618,4.5062866,8.738632
221,0.04586792,4.4943237,8.685989
231,0.04826355,4.491928,8.712311
241,0.0315094,4.5014954,8.697952
252,0.04107666,4.4990997,8.693161
261,0.002792358,4.5014954,8.58548
271,-0.035491943,4.5182495,8.477814
281,0.014755249,4.5230255,8.470627
292,0.02911377,4.515854,8.516098
301,0.021942139,4.482361,8.628555
311,0.04107666,4.4560394,8.714691
321,0.02671814,4.412964,8.702728
331,0.05543518,4.4081726,8.700333
341,0.05543518,4.4560394,8.683594
352,0.09371948,4.532608,8.719482
361,0.03868103,4.625931,8.702728
371,0.03390503,4.8101654,8.705124
382,-0.045059204,5.0566254,8.664444
391,0.06022644,4.996811,8.197845
401,-0.021133423,4.6019897,8.159561
411,-0.21255493,4.865204,8.307922
422,-0.13598633,5.2169495,8.231354
431,0.06022644,5.2121735,8.272018
441,0.08654785,4.802994,8.257675
451,-0.15753174,3.8554382,8.09256
461,-0.38963318,4.5062866,7.59964
471,-0.17427063,5.4418793,8.080597
481,0.05303955,5.2959137,8.44191
491,0.835495,3.4654083,7.0803986
501,0.95274353,4.4895325,8.15239
511,0.6009979,4.6426697,8.812805
521,0.3617096,4.0660095,8.791275
532,-0.057022095,4.1210327,8.571121
541,-0.20298767,4.080368,8.434738
551,-0.56430054,3.9678955,7.8317413
561,-0.8801575,4.853241,8.224167
571,-0.7365875,4.7240295,8.602234
582,-0.4590149,4.515854,8.346207
591,-0.32980347,4.3172455,7.8652496
601,0.10568237,4.412964,6.2955475
611,0.1966095,5.968292,6.9272614
621,-0.61694336,6.5808563,7.255081
631,-2.2321014,5.0925293,9.102341
642,-1.5118561,4.898712,4.271225
651,-0.6719818,5.276779,7.0516815
661,-0.73898315,5.8989105,7.5565643
671,-0.6791687,6.2937164,8.240921
681,-0.5762634,6.5784607,8.875015
692,-0.30827332,6.3439636,9.485184
701,-0.22930908,5.877365,9.250687
711,-0.4542389,5.896515,9.073624
