Milliseconds,X,Y,Z
3,0.44786072,8.057236,5.7069244
12,0.3712921,8.002197,5.7188873
23,0.39282227,7.8251343,6.082596
33,0.39042664,7.801193,6.4558716
43,0.4717865,7.9495544,6.5587616
53,0.663208,8.069199,6.563553
62,0.81396484,8.112274,6.4487
72,0.94317627,8.057236,6.396057
82,2.0295105,6.7818604,6.96315
92,1.5054932,7.1647034,8.13324
102,1.007782,7.8849487,8.68837
113,0.9838562,8.145767,7.8580627
122,0.78764343,8.200806,6.9942627
132,0.46221924,8.05484,6.1974487
142,0.23968506,7.820343,5.5800934
152,0.06260681,7.4374847,4.878998
163,0.4454651,7.126419,4.596649
172,0.64167786,7.1527405,4.4339447
182,0.7780609,7.2915344,4.5822906
192,0.6368866,7.3417816,4.917282
202,0.26600647,7.2795715,5.9581604
213,-0.4039917,7.219742,7.0229645
222,-0.9208374,7.56192,7.690567
232,-1.19841,7.944763,7.5398254
242,-1.3084717,8.152939,6.5946503
253,-1.3539429,8.255844,5.3791046
262,-0.98065186,8.499908,4.539215
272,-0.76290894,8.385056,4.3477936
282,-0.5714874,7.877777,4.005615
293,-0.6145477,7.1407776,4.283188
302,-0.26519775,7.155136,4.878998
312,0.07696533,7.770096,5.8959503
322,0.45025635,8.85405,7.1330414
333,1.1872406,9.579071,7.8317413
342,1.8955231,9.86142,8.080597
352,2.1324005,9.703491,7.9585724
362,1.9481506,8.995224,7.535034
372,1.6251221,8.28215,6.917694
382,1.1011047,7.7557373,5.864853
392,0.40000916,7.7246246,5.163742
402,-0.049850464,7.91127,4.8311462
412,0.05064392,7.985443,4.6445007
422,0.7278137,7.801193,4.740219
433,1.2949219,7.454239,5.113495
442,1.8309174,7.2317047,5.455673
452,2.208969,7.401596,5.644699
462,2.5296173,7.6624146,5.651886
473,2.7138672,7.700699,5.5346375
482,2.5918274,7.710266,5.228348
492,2.496109,7.7892303,4.917282
503,2.3860474,7.8275146,4.8000336
512,2.3956146,7.717453,4.4506836
522,2.3118744,7.5714874,4.144409
532,2.3429718,7.293915,4.149185
542,2.2520447,7.040283,4.2401123
552,2.1850433,7.018753,4.1204834
562,2.3142548,7.2269287,4.299942
572,2.5296173,7.2436676,4.558365
582,2.6899261,7.217346,4.797653
593,2.76651,7.2388916,4.8933563
602,2.594223,7.2341003,4.637329
612,2.4650116,7.3657074,4.5081177
622,2.1994019,7.236496,4.3669434
633,1.9960175,7.1766663,4.505722
642,1.8404846,7.31546,4.9149017
652,1.8572235,7.298706,5.1948547
662,1.8979034,7.332199,5.508316
673,1.9314117,7.566696,5.6662445
682,1.9984131,7.770096,5.6877747
692,2.0127716,7.963913,5.6207733
702,2.0701904,8.1362,5.5968475
713,1.9888306,8.554932,5.9294586
722,1.8476562,8.940186,6.156769
732,1.7304077,9.51207,6.235733
742,1.8261261,9.571884,6.360153
752,1.9673004,9.437897,6.637726
763,2.125229,9.361313,7.0349426
772,2.429123,8.85643,7.90831
782,2.730606,8.100296,9.2291565
792,2.9220428,7.475769,10.482986
803,3.1110687,5.9539337,12.947601
812,2.6157532,5.3389893,13.543411
822,2.1635132,5.1930237,13.184494
832,1.3523407,5.3437653,11.95697
843,1.0484619,5.415558,10.841919
852,0.555542,5.7720795,8.855881
862,0.3569336,6.2602234,7.7168884
872,0.32821655,6.7124634,7.08519
882,0.43110657,6.994812,6.934433
893,0.4454651,7.0283203,6.893753
904,0.20379639,6.9230347,6.647293
913,0.1583252,6.7698975,6.441513
922,0.16789246,6.5641174,6.252487
932,0.17507935,6.389435,5.931839
942,0.3497467,6.492325,5.714096
952,0.6751709,6.583252,5.467636
962,0.92881775,6.652649,5.2307434
972,0.99342346,6.784256,5.355179
982,0.93359375,6.911072,5.7691345
993,0.90249634,7.011566,6.350586
1002,0.79003906,7.0498505,6.81958
1012,0.4837494,7.052246,6.975113
1023,0.18943787,7.0498505,6.910507
1032,-0.38006592,7.0259247,6.4463043
1042,-0.73898315,7.071396,5.8887787
1052,-0.99261475,7.4351044,5.314499
1062,-1.3132629,7.3441772,4.981888
1072,-1.5836487,7.4111633,4.8981476
1082,-1.8779602,7.6026,4.7665405
1092,-1.925827,7.614563,4.579895
1103,-1.971283,7.4327087,4.5200806
1112,-1.9976044,7.217346,4.7210693
1123,-1.9521484,6.6167603,5.2427063
1132,-2.5694885,6.415756,6.522873
1142,-2.3756714,6.590439,6.8865814
1152,-2.1746826,6.6837463,7.283783
1162,-1.9808502,6.702896,7.336426
1172,-1.9449615,6.530609,7.3388214
1182,-2.1268158,6.6167603,7.3101044
1192,-2.4665985,6.8225403,7.015793
1203,-2.7633057,7.1527405,6.69516
1212,-3.0743713,7.5834503,6.704727
1222,-3.1557312,7.9280243,6.625763
1232,-2.9379883,8.294128,6.1687317
1242,-2.217743,8.416153,5.6423187
1252,-1.2127533,8.277374,5.5274506
1263,-0.21255493,8.133804,6.630554
1272,0.012359619,7.9543457,7.759964
1282,-0.4805603,7.1312103,9.288971
1292,-1.3898315,6.3272247,9.755569
1303,-2.418747,5.9491577,9.4014435
1312,-3.2012024,5.958725,8.391663
1322,-3.4165497,6.2530365,7.4417114
1332,-3.3136597,7.00679,6.8004456
1343,-3.2442627,7.523636,6.8124084
1352,-3.1102753,8.078766,7.18808
1362,-2.8087769,8.107483,8.138031
1372,-2.6556396,8.097916,9.133438
1382,-2.5982056,8.050049,10.052292
1392,-2.5001068,7.947159,10.669632
1403,-2.3278198,7.648056,10.916092
1412,-2.2512512,7.351349,10.731842
1422,-2.2368927,7.162323,10.241318
1432,-2.3014984,6.944565,9.387085
1442,-2.2919312,6.7531433,8.709915
1453,-2.1004944,6.600006,8.142807
1462,-2.0023956,6.600006,7.594864
1472,-1.8612213,6.767502,7.2072144
1483,-1.6386871,6.8775635,6.9152985
1492,-1.5070801,6.8560333,6.687973
1502,-1.3874359,6.662216,6.362549
1512,-1.4185486,6.501892,6.18309
1522,-1.4711914,6.2817535,5.948593
1532,-1.4352875,6.061615,5.903137
1542,-1.3228302,5.963516,5.9629517
1553,-1.2223358,5.946762,5.960556
1562,-1.0739746,5.987442,6.0036316
1572,-0.92800903,6.0759735,6.013199
1582,-0.8107605,6.2291107,5.931839
1593,-0.6983032,6.4372864,5.910309
1602,-0.4685974,6.743576,5.9653473
1612,-0.38484192,6.858429,5.984482
1623,-0.3920288,6.8321075,5.943802
1632,-0.4207306,6.738785,6.063446
1642,-0.45663452,6.5760803,6.2668457
1652,-0.6145477,6.360718,6.501343
1662,-0.82751465,6.262619,6.6114044
1673,-1.0285187,6.3439636,6.659256
1682,-1.1577301,6.456436,6.4917603
1692,-1.2630157,6.604782,6.2381287
1702,-1.3635101,6.839279,5.9055176
1712,-1.4257202,7.0283203,5.5394287
1723,-1.4807587,7.224533,5.352783
1732,-1.4352875,7.4159546,5.3719177
1742,-1.3491516,7.676773,5.5226746
1752,-1.1194458,8.021347,5.8433075
1763,-0.8705902,8.133804,6.029953
1772,-0.71266174,8.114655,6.132843
1782,-0.6767731,8.107483,6.16156
1792,-0.7533417,8.248657,6.2213745
1803,-0.78923035,8.598007,6.2213745
1812,-0.8562317,9.157928,6.070633
1822,-0.6791687,9.626923,5.7571716
1832,-0.36331177,9.710678,5.6782074
1842,-0.021133423,9.421143,5.907913
1852,0.19421387,8.846863,6.5180817
1862,0.25164795,8.222336,7.4943542
1872,0.16789246,7.688736,8.578308
1883,-0.10726929,7.138382,9.351181
1892,-0.53559875,6.7220306,9.516296
1902,-0.9016876,6.549759,8.932449
1912,-1.4711914,6.7220306,7.637924
1922,-1.6147614,6.777069,6.5587616
1933,-1.6123657,6.839279,5.773926
1942,-1.4951172,6.808182,5.302536
1952,-1.2486572,6.6478577,5.211609
1962,-0.99980164,6.451645,5.5346375
1973,-0.6528473,6.142975,6.1806946
1982,-0.5116577,5.865402,6.7310486
1992,-0.5427704,5.798401,7.0397186
2002,-0.62890625,6.032898,7.1091156
2012,-0.65045166,6.315262,6.934433
2022,-0.70069885,6.681366,6.55159
2032,-0.7796631,7.150345,6.1376343
2042,-0.717453,7.6336975,5.685379
2052,-0.5954132,7.9375916,5.307312
2062,-0.34895325,8.069199,5.249893
2072,-0.076171875,8.026123,5.319275
2082,0.0362854,7.8849487,5.565735
2092,0.12243652,7.564316,5.9151
2102,0.15115356,7.183853,6.2405243
