Milliseconds,X,Y,Z
7,-1.272583,2.704483,10.207825
16,-1.3515472,2.5513458,10.131241
23,-1.4664001,2.4843445,9.925461
33,-1.6650085,2.4843445,9.573715
43,-1.7678986,2.510666,9.22197
54,-1.8588257,2.5872345,9.006622
63,-1.8995056,2.682953,9.150192
73,-1.9138641,2.8600159,9.659866
83,-1.7487488,2.7930145,10.351395
93,-1.3252258,2.7068787,10.722275
103,-0.9447632,2.6661987,10.863449
114,-0.4805603,2.52742,10.954376
123,-0.19102478,2.4077759,10.710312
133,0.09851074,2.6159515,10.224564
143,-0.18145752,2.5991974,9.152588
153,-0.86579895,3.8434753,8.566345
167,-0.7677002,4.101898,7.937027
173,0.54356384,3.7214355,7.5398254
184,-0.3920288,4.3914337,8.355774
193,-0.14794922,3.9966125,8.93483
203,0.1846466,3.3792572,9.564148
213,0.5076752,3.1830597,9.7795105
223,0.34736633,3.221344,9.683792
234,0.07936096,3.5611115,9.296158
243,-0.15513611,3.7740784,8.796051
253,-0.17427063,3.6640167,8.19545
263,-0.167099,4.015747,7.2048187
273,-0.078567505,4.3531494,6.7669373
283,0.14396667,4.549347,6.970337
294,1.0723877,4.783844,7.3460083
303,1.6442719,4.721634,7.982498
313,2.2807617,4.377075,8.839127
323,2.524826,3.8841553,8.9539795
333,2.1922302,4.1114655,9.1549835
343,1.8428802,4.326828,8.8510895
354,2.72583,6.2769775,7.7336426
363,2.4171448,6.1908264,7.135437
373,1.6897278,5.7218323,6.9942627
383,0.91685486,5.271988,7.255081
393,0.54356384,4.980057,7.20961
403,0.02432251,4.582855,7.04451
414,-1.0548401,4.5876465,6.745407
423,-2.59581,4.628311,6.625763
433,-2.4618073,4.154541,6.534836
443,-1.3515472,3.8841553,6.3481903
453,-0.26281738,3.920044,6.046707
463,0.28276062,4.2717896,5.6949615
474,0.6512451,4.3005066,5.675812
483,1.5365906,4.022934,5.5394287
493,1.912262,3.6879425,5.5633545
503,2.1706848,3.6951141,5.5968475
513,2.1443634,3.850647,5.450882
523,1.9338074,3.6927185,5.302536
533,1.6801605,3.3744812,4.9890747
544,1.5246277,2.8791656,4.6684265
553,1.562912,2.6685944,4.575119
563,1.529419,2.52742,4.3358307
573,1.7136688,1.943573,3.531845
583,1.8763733,2.07518,3.720871
593,2.6923218,3.0227356,4.3477936
603,3.0345001,3.3601227,4.630142
