Milliseconds,X,Y,Z
11,2.5822601,5.9946136,7.1952515
11,2.5822601,5.9946136,7.1952515
21,2.4817505,5.733795,7.381897
31,2.4602203,5.6763763,7.566147
41,2.5009003,5.642868,7.740814
52,2.5822601,5.621338,7.817383
61,2.7808533,5.7266235,7.884384
71,2.9459686,5.786438,7.645111
81,2.943573,5.831909,7.6427155
91,2.5726776,6.016159,8.274414
101,1.6035919,7.975876,8.889374
111,1.9984131,7.2843475,7.3125
121,2.285553,6.8273163,6.604233
132,1.6873474,5.7170563,6.4056244
141,1.2781677,5.1140594,6.3864746
151,1.5988007,4.8771667,6.90094
161,2.3070831,5.1188507,7.3675385
171,2.5343933,5.2743835,7.4752197
181,2.800003,5.181061,8.0112
192,2.8023987,4.939377,8.243317
201,2.800003,4.9178467,8.23613
211,2.778473,4.972885,8.228958
221,2.5511475,5.2049866,8.250488
231,2.2951202,5.499298,8.185883
241,2.1300201,5.7170563,7.9705353
252,1.8979034,5.980255,7.8078156
261,1.768692,6.214752,8.006424
271,1.7112732,6.5784607,8.303131
281,1.7878418,6.5473633,8.140427
291,1.804596,6.2315063,7.8580627
301,1.7615204,5.8797607,7.645111
312,1.7806549,5.719452,7.781494
321,1.8787689,5.836685,7.879608
331,1.7304077,6.2027893,7.788681
341,1.8309174,6.2027893,7.6020355
351,1.9553375,6.0831604,7.2478943
361,2.051056,6.1669006,7.1617584
371,2.1228333,6.3343964,7.3842926
382,2.1611176,6.5473633,7.37471
391,2.1730804,6.6550446,7.0636444
401,1.9146576,6.961319,6.73584
411,1.4719849,7.0594177,6.9942627
421,0.732605,6.8967133,7.336426
431,0.48135376,7.4231415,7.4895782
442,0.9814606,7.183853,6.970337
451,1.3284149,7.3298187,6.637726
461,0.9862366,8.150558,6.218979
471,0.766098,8.901901,6.2955475
481,1.1274261,9.540787,6.111313
491,0.8737793,10.225128,6.5898743
502,0.7732849,10.213165,6.601837
511,0.65364075,10.028915,6.1376343
521,0.62731934,10.12941,5.570526
531,0.53878784,10.45723,4.9555664
541,0.28753662,10.648666,4.558365
551,-0.037887573,10.780258,4.4794006
561,-0.20777893,10.895126,4.448288
571,-0.4542389,10.808975,4.2568665
582,-0.87776184,10.581665,4.046295
591,-1.2199402,10.438095,3.914688
601,-2.3469543,10.162918,3.823761
611,-3.179657,10.249054,3.7065125
621,-3.696518,10.215561,3.034134
631,-3.545761,10.256241,1.7635498
642,-2.9882355,10.055237,0.6006317
651,-2.693924,9.760925,-0.074142456
