Milliseconds,X,Y,Z
2,-1.2271118,3.9391785,8.939621
11,-0.99261475,3.9272156,11.42337
21,-0.9016876,3.838684,12.074219
31,-1.0093689,3.530014,12.246506
43,-1.0165558,3.3672943,12.052689
51,-0.9710846,3.3338013,11.739227
61,-0.8753662,3.39122,11.018982
71,-0.73179626,3.6520386,10.040314
82,-0.6911316,3.850647,8.987473
91,-0.66241455,3.891327,8.520874
101,-0.66241455,4.0133667,8.027954
111,-0.5690918,4.176071,7.7551727
121,-0.46620178,4.281357,8.121277
131,-0.3824463,4.3124695,8.322281
142,-0.7820587,4.5397797,8.587875
151,-1.0165558,4.668991,8.927658
161,-1.140976,4.688141,9.200439
171,-1.0955048,4.4990997,9.437332
181,-1.0213318,4.463211,9.789078
192,-0.9351959,4.4775696,9.937424
201,-0.8490448,4.4895325,9.848892
211,-0.028320312,4.063614,9.580902
222,0.13919067,3.6520386,9.7842865
231,0.13439941,3.9272156,10.069031
242,-0.25323486,4.063614,9.793854
251,-0.43269348,4.1688995,9.499542
261,-0.63609314,4.3124695,9.054474
272,-0.61694336,4.286148,8.925262
281,-0.38006592,4.178467,8.786484
291,0.06022644,4.0827484,8.664444
301,0.47418213,3.9224396,8.618988
311,0.7828522,3.7429657,8.35817
321,0.84028625,3.5036926,8.528061
332,0.53160095,3.197403,9.025757
341,0.27557373,3.04187,9.274612
351,0.005187988,2.8049927,9.351181
361,0.017150879,2.761917,9.444504
371,0.1463623,2.8719788,9.561752
381,0.09371948,3.12323,9.619186
391,0.04107666,3.3840485,9.561752
401,-0.023529053,3.5970154,9.415787
411,-0.028320312,3.8578339,9.260254
421,-0.28434753,3.8865356,9.351181
432,-0.44944763,4.06839,9.200439
441,-0.71266174,4.2598267,9.109512
451,-1.0452576,4.4680023,9.389481
461,-1.0883331,4.5062866,10.047501
471,-0.9136505,4.2335052,11.224762
482,-0.30348206,4.0827484,11.624374
491,-0.006774902,3.9463654,11.700943
501,0.07696533,3.6592255,11.54541
511,0.12960815,3.2356873,11.334839
521,0.5100708,3.1710815,10.188675
532,1.287735,3.3074799,8.726654
541,1.7280121,3.6879425,8.386887
551,1.8811646,4.228714,8.243317
561,1.7160492,4.762314,9.200439
571,1.4504547,4.932205,11.09317
581,1.0293121,4.3674927,12.81839
593,0.84028625,3.5036926,12.995453
601,0.6081848,2.8456573,12.914108
611,0.45742798,2.4149628,12.150787
621,0.25404358,2.1373901,10.707916
632,-0.073776245,1.8981018,9.545013
641,-0.35612488,1.6037903,8.786484
651,-0.549942,0.842865,9.676605
661,-1.2319031,0.8452606,8.035141
671,-1.3563232,1.2640076,8.350983
681,-0.99261475,2.2618103,8.834335
691,-0.5930176,3.6640167,10.303528
701,0.27078247,4.733597,9.267441
711,0.6057892,5.5495605,10.006821
721,0.7445679,6.3918304,10.064255
731,0.13439941,7.66481,8.0112
741,0.6249237,7.052246,7.3436127
752,1.5988007,5.930008,8.181091
761,0.6081848,5.650055,8.772125
771,-0.7030945,5.511261,8.700333
781,-1.3491516,5.2743835,8.159561
791,-1.7080688,4.915451,7.2574615
802,-1.6937256,4.5637054,5.630356
811,-1.6267242,4.4249268,4.4817963
821,-1.4975128,4.520645,3.847702
831,-1.416153,3.9726868,4.2640533
842,-1.0835419,3.9008942,5.0871735
851,-0.9064789,4.2430725,6.0969543
861,-0.7605133,4.45842,7.06604
871,-0.61694336,4.5756683,7.817383
881,-0.5547333,4.819748,7.8245697
891,-1.0093689,5.2289124,6.90094
902,-1.519043,5.499298,6.333832
911,-2.1124573,5.384445,5.541809
921,-2.0071716,4.7072754,5.3791046
931,-1.5573273,4.1282196,5.9222717
941,-1.0691986,3.8889313,6.6161957
952,-0.8586273,3.8626099,7.1091156
961,-0.9782715,3.8554382,7.506317
972,-0.96151733,3.7549438,7.10672
981,-0.72462463,3.9176483,6.0945587
991,-0.6145477,4.4249268,5.950989
1001,-0.75094604,5.477768,5.9461975
1011,-0.5882263,5.8127594,5.4724274
1022,-0.29151917,5.9826508,5.83374
1031,-0.076171875,6.0352936,6.678406
1041,-0.18862915,5.9826508,7.736038
1051,-0.5882263,5.786438,8.114105
1061,-1.1529388,5.3724823,7.9920654
1072,-1.7224274,4.9585266,7.841324
1081,-1.9760742,4.738388,7.712097
1091,-1.8301086,4.7120667,7.9059296
1101,-1.3156586,5.1140594,8.346207
1111,-0.60258484,6.221939,8.348602
1122,-0.21734619,7.0546417,8.348602
1131,0.3569336,7.9280243,8.417984
1141,0.6201477,8.315659,8.465851
1151,0.51486206,8.126617,9.839325
1161,-0.5044861,7.7246246,11.275024
1171,-0.7581177,7.5140686,11.085983
1182,-0.030700684,6.994812,10.423172
1191,0.1918335,6.595215,10.145599
1201,0.22772217,6.238693,9.741211
1212,0.04826355,5.8749847,9.200439
1221,-0.076171875,5.5734863,8.977905
